,Name,Followers,Page Likes,Age_and_Views,Video_Likes
0,ThesaurusPG,"3,164,304","274,848", ,"43,000"
1, , , ,1.7M Views,"45,000"
2, , , , ,"49,000"
3, , , ,1.7M Views,"86,000"
4, , , , ,"34,000"
5, , , ,1.8M Views,"73,000"
6, , , , ,"70,000"
7, , , ,6.9M Views,"178,000"
8, , , , ,"18,000"
9, , , ,4.3M Views,"178,000"
10, , , , ,"44,000"
11, , , ,247K Views,"22,000"
12, , , , ,"51,000"
13, , , ,3.6M Views,"50,000"
14, , , , ,"45,000"
15, , , ,15.7M Views,"43,000"
16, , , , ,"43,000"
17, , , ,1.1M Views,"45,000"
18, , , , ,"49,000"
19, , , ,15.7M Views,"38,000"
20, , , , ,"41,000"
21, , , ,4.3M Views,"43,000"
22, , , , ,"41,000"
23, , , ,1.5M Views,"48,000"
24, , , , ,"44,000"
25, , , ,2.1M Views,"41,000"
26, , , , ,"15,000"
27, , , ,2.1M Views,"42,000"
28, , , , ,"45,000"
29, , , ,1.7M Views,"44,000"
30, , , , ,"44,000"
31, , , ,1.6M Views,"51,000"
32, , , , ,"50,000"
33, , , ,1.7M Views,"18,000"
34, , , , ,"45,000"
35, , , ,1.7M Views,"39,000"
37, , , ,1.8M Views, 
39, , , ,2.3M Views, 
41, , , ,1.8M Views, 
43, , , ,1.7M Views, 
45, , , ,1.8M Views, 
47, , , ,1.8M Views, 
49, , , ,1.8M Views, 
51, , , ,1.7M Views, 
53, , , ,816.5K Views, 
55, , , ,1.7M Views, 
57, , , ,1.7M Views, 
59, , , ,1.6M Views, 
61, , , ,1.7M Views, 
63, , , ,2.1M Views, 
65, , , ,2.1M Views, 
67, , , ,675.9K Views, 
69, , , ,1.7M Views, 
71, , , ,1.5M Views, 
