,Name,Followers,Page_Likes,Views,Video_Likes
0,ThesaurusPG,3282378.0,282882.0,2000000,52000
1,,,,1800000,50000
2,,,,2000000,52000
3,,,,2200000,56000
4,,,,508200,22000
5,,,,2000000,48000
6,,,,2000000,51000
7,,,,1700000,46000
8,,,,1800000,44000
9,,,,1700000,46000
10,,,,1800000,50000
11,,,,4000000,45000
12,,,,1800000,41000
13,,,,1700000,43000
14,,,,1800000,41000
15,,,,1800000,48000
16,,,,1800000,44000
17,,,,1700000,41000
18,,,,826800,16000
19,,,,1700000,42000
20,,,,1700000,45000
21,,,,1600000,44000
22,,,,1700000,44000
23,,,,2100000,51000
24,,,,2100000,50000
25,,,,685600,19000
26,,,,1700000,45000
27,,,,1500000,39000
28,,,,1600000,43000
29,,,,1800000,42000
30,,,,1400000,35000
31,,,,1400000,38000
32,,,,3000000,21000
33,,,,1300000,33000
34,,,,1700000,35000
35,,,,1700000,37000
36,,,,1600000,34000
37,,,,1800000,40000
38,,,,1800000,44000
39,,,,1100000,25000
40,,,,1700000,41000
41,,,,1900000,48000
42,,,,1900000,45000
43,,,,1600000,39000
44,,,,1500000,37000
45,,,,1400000,35000
46,,,,5900000,34000
47,,,,1500000,37000
48,,,,1500000,35000
49,,,,1500000,36000
50,,,,1500000,40000
51,,,,1800000,43000
52,,,,1600000,30000
53,,,,4000000,68000
54,,,,1400000,35000
55,,,,1400000,34000
56,,,,1500000,39000
57,,,,1600000,31000
58,,,,1700000,38000
59,,,,1400000,29000
60,,,,2000000,48000
61,,,,1700000,37000
62,,,,2100000,43000
63,,,,1800000,33000
64,,,,1300000,28000
65,,,,1400000,29000
66,,,,1600000,32000
67,,,,5000000,50000
68,,,,1700000,36000
69,,,,1900000,38000
70,,,,1100000,22000
71,,,,1600000,32000
72,,,,1400000,35000
73,,,,1500000,52000
74,,,,915500,22000
75,,,,1100000,22000
76,,,,1100000,21000
77,,,,1300000,24000
78,,,,1400000,31000
79,,,,1200000,26000
80,,,,3300000,85000
81,,,,1300000,27000
82,,,,1300000,25000
83,,,,984700,23000
84,,,,1400000,28000
85,,,,923800,23000
86,,,,899800,19000
87,,,,3700000,74000
88,,,,827800,15000
89,,,,569200,12000
90,,,,767800,16000
91,,,,576800,11000
92,,,,1000000,19000
93,,,,919900,18000
94,,,,7400000,105000
95,,,,1100000,21000
96,,,,1100000,19000
97,,,,1400000,25000
98,,,,968500,19000
99,,,,643600,14000
100,,,,1100000,19000
101,,,,883600,16000
102,,,,1100000,17000
103,,,,877300,19000
104,,,,1000000,19000
105,,,,1100000,20000
106,,,,680700,14000
107,,,,628500,12000
108,,,,1500000,30000
109,,,,821200,16000
110,,,,704700,13000
111,,,,769400,14000
112,,,,944200,18000
113,,,,964400,18000
114,,,,949400,16000
115,,,,10100000,181000
116,,,,1100000,19000
117,,,,1000000,18000
118,,,,1000000,20000
119,,,,811300,15000
120,,,,1000000,21000
121,,,,742500,18000
122,,,,6600000,91000
123,,,,1000000,19000
124,,,,700500,13000
125,,,,871600,18000
126,,,,535100,11000
127,,,,989700,20000
128,,,,708800,14000
129,,,,4700000,82000
130,,,,816500,17000
131,,,,742800,15000
132,,,,791500,15000
133,,,,878600,14000
134,,,,912600,17000
135,,,,703200,14000
136,,,,6900000,88000
137,,,,786800,13000
138,,,,724400,14000
139,,,,698000,13000
